City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
163,Senanga,-16.1167,23.2667,74.86,75,80,7.4,ZM,moderate rain
164,Alghero,40.5589,8.3181,62.69,36,0,16.11,IT,clear sky
165,Adrar,20.5022,-10.0711,75.96,14,2,15.3,MR,clear sky
166,Broome,42.2506,-75.833,32.7,68,0,12.66,US,clear sky
167,Berlevag,70.8578,29.0864,37.2,91,100,22.75,NO,overcast clouds
168,San Patricio,28.017,-97.5169,75.18,97,66,5.93,US,broken clouds
169,Dikson,73.5069,80.5464,10.87,85,100,16.98,RU,overcast clouds
170,Ammokhorion,40.7833,21.4833,43.95,94,100,7.4,GR,light rain
171,Tasiilaq,65.6145,-37.6368,34.5,99,100,1.74,GL,light snow
172,Vardo,70.3705,31.1107,38.01,86,100,22.93,NO,overcast clouds
173,Pierre,44.3683,-100.351,36.05,48,20,21.99,US,few clouds
174,Winnemucca,40.973,-117.7357,39.25,48,0,8.05,US,clear sky
175,Leningradskiy,69.3833,178.4167,5.61,98,99,5.01,RU,overcast clouds
176,Ribeira Grande,38.5167,-28.7,57.6,77,20,9.22,PT,few clouds
177,Viljoenskroon,-27.2084,26.9485,54.59,94,100,3.22,ZA,heavy intensity rain
178,Plavinas,56.6178,25.7255,42.67,44,18,7.99,LV,few clouds
179,Yulara,-25.2406,130.9889,89.44,19,3,11.5,AU,clear sky
180,Topchanchi,23.9,86.2,107.71,6,7,7.07,IN,clear sky
181,Togur,58.3631,82.8265,50.18,73,65,11.97,RU,broken clouds
182,Anadyr,64.75,177.4833,34.3,75,20,17.9,RU,few clouds
183,Vestmannaeyjar,63.4427,-20.2734,44.4,88,100,14.41,IS,light rain
184,Karratha,-20.7377,116.8463,93.34,28,57,10.56,AU,broken clouds
185,Peniche,39.3558,-9.3811,58.28,84,100,16.44,PT,overcast clouds
186,Lima,-12.0432,-77.0282,61.05,82,0,4.61,PE,clear sky
187,Akyab,20.15,92.9,87.67,63,1,11.43,MM,clear sky
188,Ayan,56.45,138.1667,28.36,77,71,2.62,RU,broken clouds
189,Watertown,42.3709,-71.1828,43.29,91,20,7.0,US,few clouds
190,Bredasdorp,-34.5322,20.0403,63.73,59,2,7.72,ZA,clear sky
191,Miri,4.4148,114.0089,91.54,66,20,9.22,MY,few clouds
192,Lavrentiya,65.5833,-171.0,28.58,97,100,10.87,RU,light snow
193,Manzhouli,49.6,117.4333,48.07,19,20,16.53,CN,few clouds
194,Calvinia,-31.4707,19.776,62.42,51,0,13.8,ZA,clear sky
195,Abha,18.2164,42.5053,78.62,14,3,6.91,SA,clear sky
196,Port Elizabeth,-33.918,25.5701,63.32,95,75,9.22,ZA,broken clouds
197,Pundaguitan,6.3711,126.1689,82.96,72,95,6.91,PH,overcast clouds
