City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Petropavlovsk-Kamchatskiy,RU,2022-04-13 09:43:01,53.0452,158.6483,32.59,55,20,4.47
213,Sampit,ID,2022-04-13 09:43:02,-2.5333,112.95,77.68,91,100,1.68
214,Tezu,IN,2022-04-13 09:43:02,27.9167,96.1667,81.27,62,96,3.22
215,Najran,SA,2022-04-13 09:43:04,17.4924,44.1277,95.65,11,83,10.63
216,Mitsamiouli,KM,2022-04-13 09:43:04,-11.3847,43.2844,86.29,74,75,10.36
217,Ulladulla,AU,2022-04-13 09:43:05,-35.35,150.4667,61.7,81,36,5.23
218,Sakaiminato,JP,2022-04-13 09:43:05,35.55,133.2333,57.18,94,75,9.22
219,Kachug,RU,2022-04-13 09:43:06,53.9606,105.8817,36.81,47,67,4.27
220,Kavaratti,IN,2022-04-13 09:43:06,10.5669,72.642,85.44,67,98,3.89
221,Nchelenge,ZM,2022-04-13 09:43:07,-9.3451,28.734,79.18,63,90,3.83
222,Laguna,US,2022-04-13 09:43:07,38.421,-121.4238,44.46,78,0,5.75
223,Abu Samrah,SY,2022-04-13 09:43:07,35.3029,37.1841,61.29,32,2,3.89
224,Saint-Leu,RE,2022-04-13 09:43:08,-21.15,55.2833,79.66,76,73,8.52
225,Kristoni,GR,2022-04-13 09:43:08,40.9556,22.8553,62.83,51,1,4.43
226,Akyab,MM,2022-04-13 09:43:09,20.15,92.9,85.57,69,12,16.82
227,Merke,KZ,2022-04-13 09:43:09,42.8728,73.1786,71.71,55,74,6.85
228,Ambulu,ID,2022-04-13 09:43:10,-8.345,113.6058,80.08,82,26,4.34
229,Lazaro Cardenas,MX,2022-04-13 09:43:11,17.9583,-102.2,74.43,87,100,2.42
230,Hualmay,PE,2022-04-13 09:44:12,-11.0964,-77.6139,65.19,89,32,7.27
231,Carnarvon,AU,2022-04-13 09:44:12,-24.8667,113.6333,78.87,50,0,20.71
232,Ambilobe,MG,2022-04-13 09:44:12,-13.2,49.05,90.59,50,30,8.01
233,Otjimbingwe,NA,2022-04-13 09:44:13,-22.35,16.1333,85.03,26,25,2.53
