City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Vidalia,US,66.31,mist,32.2177,-82.4135,Quality Inn & Suites
421,Letlhakeng,BW,64.31,overcast clouds,-24.0944,25.0298,fenugreek
423,Port Shepstone,ZA,67.5,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
424,Urumqi,CN,70.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
426,Mitsamiouli,KM,88.09,scattered clouds,-11.3847,43.2844,Foyer ADM
428,Takoradi,GH,77.61,light rain,4.8845,-1.7554,Raybow International Hotel
430,Gushikawa,JP,70.83,scattered clouds,26.3544,127.8686,Kirari Guest House
432,Hualmay,PE,65.19,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
433,Nara,JP,70.97,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
434,Bugene,TZ,70.93,overcast clouds,-1.5911,31.1403,Triple P Hotel
436,Kaniama,CD,77.25,overcast clouds,-7.5667,24.1833,
437,Komsomolskiy,UZ,83.12,overcast clouds,40.4272,71.7189,Ikathouse
439,Iracoubo,GF,76.28,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
442,Kawalu,ID,85.55,broken clouds,-7.3817,108.2082,West Jontor
443,Medina,SA,88.23,clear sky,24.4686,39.6142,Anwar Al Madinah Mövenpick Hotel
445,Nueva Gerona,CU,78.46,clear sky,21.8833,-82.8,Villa Gerona
446,Kaberamaido,UG,78.42,overcast clouds,1.7389,33.1594,"Little Orchard, Kaberamaido"
449,Hobyo,SO,87.8,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
450,Arlit,NE,80.53,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
456,Chifeng,CN,65.5,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
458,Carutapera,BR,75.13,overcast clouds,-1.195,-46.02,Lidera
463,Cotonou,BJ,83.98,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
466,Lubango,AO,65.82,light rain,-14.9172,13.4925,Hotel Serra da Chela
467,Saldanha,ZA,64.47,clear sky,-33.0117,17.9442,Blue Bay Lodge
470,Honiara,SB,78.91,moderate rain,-9.4333,159.95,Heritage Park Hotel
472,Port Blair,IN,89.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
473,Turkmenabat,TM,81.45,broken clouds,39.0733,63.5786,"Гостиница ""Yupek Yoly"" (Шелковый путь)"
475,Ulladulla,AU,65.77,clear sky,-35.35,150.4667,Sandpiper Motel
480,Kwinana,AU,72.23,clear sky,-32.25,115.7667,Rockingham Apartments
481,Kilindoni,TZ,81.3,moderate rain,-7.9139,39.6668,Bustani B&B
484,Ahuimanu,US,74.75,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
486,Loandjili,CG,81.25,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
487,Batemans Bay,AU,70.11,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
488,Poli,TZ,70.41,light rain,-3.3333,36.8,Urafiki House
492,Ushtobe,KZ,81.37,few clouds,45.2514,77.9838,Filipin Squad
493,Barranca,PE,64.6,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
496,Matara,LK,85.23,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
499,Inhambane,MZ,75.63,moderate rain,-23.865,35.3833,Oceano
503,Badou,TG,79.59,overcast clouds,7.5833,0.6,Hôtel Abuta
505,Predivinsk,RU,63.55,overcast clouds,57.0669,93.4378,
506,Puerto Escondido,MX,79.9,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
507,Thinadhoo,MV,84.16,overcast clouds,0.5333,72.9333,
510,Flinders,AU,69.39,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
